,Unnamed: 0,trans_num,trans_date,cc_num,merchant,type_purcharse,amount,gender,city,state,city_pop,job,merch_lat,merch_long,fraud,trans_year,trans_month,age,age_groups,name,cat_amount,unique_person,time
518370,518370,0325b4bce2b98975c7f32c6bc6fde537,2019-08-11,4189814094741,"Streich, Dietrich and Barton",shopping_net,888.06,M,Ragland,AL,4159,psychology and social work,34.398983,-85.35408100000001,1,2019,august,22,Adult,Jason_Farmer,1,Jason_Farmer / 22,2019-08
1268441,1268441,498a0536efb0cbdb32150da8bc7be0e5,2020-06-10,3549202406645667,"Daugherty, Pouros and Beahan",shopping_pos,948.84,M,Scarborough,ME,18760,"arts, design, and entertainment",42.713055,-69.416392,1,2020,june,87,Elder,Larry_Williams,1,Larry_Williams / 87,2020-06
1067409,1067409,4b2d3b13ae2a545002c0584f9d758ef4,2020-03-19,2231186809828225,Bauch-Raynor,grocery_pos,266.42,F,Vienna,GA,7420,health and medicine,31.799024,-83.738057,1,2020,march,63,Elder,Katherine_Pennington,1,Katherine_Pennington / 63,2020-03
681581,681581,72ee4787b669ac5dd56190b1458c4f1d,2019-10-18,4561546772499,Murray-Smitham,grocery_pos,305.65,M,Moriarty,NM,7268,psychology and social work,35.330858,-105.114688,1,2019,october,32,Adult,Daniel_Briggs,1,Daniel_Briggs / 32,2019-10
893206,893206,b0e621fb6ef2c21cf47f831baf82cebd,2019-12-24,6011581063717667,Pouros-Haag,shopping_pos,737.77,M,Brashear,MO,805,"arts, design, and entertainment",40.932816,-91.672178,1,2019,december,50,Adult,Jerry_Perkins,1,Jerry_Perkins / 50,2019-12
337194,337194,bc2f8c7caf5d49ca5fb45e24fd3b4a84,2019-06-09,639023984367,Rempel Inc,shopping_net,1061.96,F,Hannawa Falls,NY,69,human resources and business management,45.28288,-75.554358,1,2019,june,29,Adult,Destiny_Lowe,1,Destiny_Lowe / 29,2019-06
1248749,1248749,6f9d8de46d9b81035101331addc5d9e0,2020-06-04,4502539526809429801,Ledner-Pfannerstill,gas_transport,9.5,F,Ash Flat,AR,2856,science and research,35.791545,-91.811939,1,2020,june,94,Elder,Stephanie_Cummings,1,Stephanie_Cummings / 94,2020-06
689753,689753,bbb0cf1eb93818fb81aaeba827881a5b,2019-10-21,4025612008285111,Rau and Sons,grocery_pos,315.05,F,Corsica,PA,1274,engineering and technology,41.789956,-78.203535,1,2019,october,71,Elder,Krystal_Key,1,Krystal_Key / 71,2019-10
1039293,1039293,3f175225a522d1dde43ef0819ed8c35e,2020-03-07,4195832462863385,Heller-Langosh,gas_transport,22.22,F,Clarksville,MO,1146,sports and physical health,39.141185,-90.48468,1,2020,march,91,Elder,Victoria_Mcbride,1,Victoria_Mcbride / 91,2020-03
667423,667423,7a21125f30681b80e8bd6f9c5251d66f,2019-10-11,4633065159406313,Jacobi and Sons,shopping_pos,818.0,F,Providence,RI,203571,health and medicine,42.761178,-70.516565,1,2019,october,25,Adult,Jasmine_Wade,1,Jasmine_Wade / 25,2019-10
